date,main_net_inflow,main_net_inflow_5d
2026-02-18 11:13:00.672882,0.5385115957207376,0.5385115957207376
2026-02-19 11:13:00.672882,-3.8606430318312803,-3.322131436110543
2026-02-20 11:13:00.672882,4.837337717444772,1.5152062813342289
2026-02-21 11:13:00.672882,1.2499808460917228,2.7651871274259516
2026-02-22 11:13:00.672882,4.8714257343973415,7.636612861823293
2026-02-23 11:13:00.672882,-1.6936298162170238,5.404471449885532
2026-02-24 11:13:00.672882,-1.5995834106033313,7.665531071113481
2026-02-25 11:13:00.672882,-1.01734087563924,1.8108524780294692
2026-02-26 11:13:00.672882,4.289377157527493,4.8502487894652395
2026-02-27 11:13:00.672882,-3.726864676097282,-3.748041621029384
2026-02-28 11:13:00.672882,-2.9010109648985516,-4.955422769710912
2026-03-01 11:13:00.672882,-2.111304972232677,-5.467144331340258
2026-03-02 11:13:00.672882,-0.033675656127736264,-4.483479111828753
2026-03-03 11:13:00.672882,-0.5895833682617413,-9.362439637617989
2026-03-04 11:13:00.672882,3.654374540696217,-1.9812004208244893
2026-03-05 11:13:00.672882,-1.5310749494176445,-0.6112644053435823
2026-03-06 11:13:00.672882,1.5577252244552853,3.05776579134438
2026-03-07 11:13:00.672882,-1.3895337824991472,1.7019076649729692
2026-03-08 11:13:00.672882,1.998139626979486,4.289630660214197
2026-03-09 11:13:00.672882,-0.8569530234905642,-0.2216969039725849
